Alpha = 0.5, total evaluations = 31603419
Alpha = 1.0, total evaluations = 1897316
Alpha = 1.5, total evaluations = 338072
Alpha = 20,  total evaluations = 25654043

[1 - 10, дихотомия]
Alpha = 1, total evaluations = 1897316, total time = 5809
Alpha = 10, total evaluations = 1494238, total time = 8604
Alpha = 5.5, total evaluations = 1407068, total time = 6035
Alpha = 7.75, total evaluations = 3353784, total time = 16810
Alpha = 6.625, total evaluations = 444075, total time = 1871
Alpha = 6.0625, total evaluations = 444321, total time = 1836
Alpha = 6.34375, total evaluations = 439094, total time = 1826
Alpha = 6.484375, total evaluations = 439094, total time = 1831
Alpha = 6.4140625, total evaluations = 439094, total time = 1814
Alpha = 6.37890625, total evaluations = 439094, total time = 1820
Alpha = 6.361328125, total evaluations = 439094, total time = 1810

[1-3, дихотомия]
Alpha = 1, total evaluations = 1897316, total time = 6289
Alpha = 5, total evaluations = 2118913, total time = 9052
Alpha = 3, total evaluations = 86591, total time = 258
Alpha = 2, total evaluations = 192300, total time = 540
Alpha = 2.5, total evaluations = 114484, total time = 353
Alpha = 2.75, total evaluations = 95926, total time = 315
Alpha = 2.875, total evaluations = 95839, total time = 271
Alpha = 2.9375, total evaluations = 95839, total time = 281
Alpha = 2.96875, total evaluations = 95839, total time = 278

[2-4 с шагом 0.01]
Alpha = 2, total evaluations = 192300, total time = 690
Alpha = 2.01, total evaluations = 132754, total time = 400
Alpha = 2.0199999999999996, total evaluations = 132754, total time = 382
Alpha = 2.0299999999999994, total evaluations = 132754, total time = 377
Alpha = 2.039999999999999, total evaluations = 132754, total time = 378
Alpha = 2.049999999999999, total evaluations = 132754, total time = 373
Alpha = 2.0599999999999987, total evaluations = 132754, total time = 378
Alpha = 2.0699999999999985, total evaluations = 132754, total time = 378
Alpha = 2.0799999999999983, total evaluations = 132754, total time = 371
Alpha = 2.089999999999998, total evaluations = 132754, total time = 373
Alpha = 2.099999999999998, total evaluations = 132754, total time = 372
Alpha = 2.1099999999999977, total evaluations = 132754, total time = 372
Alpha = 2.1199999999999974, total evaluations = 132754, total time = 374
Alpha = 2.1299999999999972, total evaluations = 132754, total time = 377
Alpha = 2.139999999999997, total evaluations = 132754, total time = 401
Alpha = 2.149999999999997, total evaluations = 132754, total time = 365
Alpha = 2.1599999999999966, total evaluations = 132754, total time = 374
Alpha = 2.1699999999999964, total evaluations = 132754, total time = 370
Alpha = 2.179999999999996, total evaluations = 132754, total time = 374
Alpha = 2.189999999999996, total evaluations = 132754, total time = 380
Alpha = 2.1999999999999957, total evaluations = 132754, total time = 370
Alpha = 2.2099999999999955, total evaluations = 132693, total time = 376
Alpha = 2.2199999999999953, total evaluations = 132693, total time = 363
